ML method,latent_size,model_family,predictor_kind,model_path,PCP training dataset (%),PCP test dataset (%),MAPE training dataset (%),MAPE test dataset (%),MAPEK training dataset (%),MAPEK test dataset (%),MAE training dataset (C),MAE test dataset (C),RMSE training dataset (C),RMSE test dataset (C),R2 training,R2 test
VAE (128) + HuberRegressor,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_huberregressor_latent_128.joblib,63.94736842105263,44.11764705882353,24.479880888775856,354.4122911966614,4.079759109539787,7.807988091015196,15.491186462980515,33.65479730965214,22.40290750118484,56.93798621532719,0.9237015358592324,0.6497522135628895
VAE (128) + SGDRegressor_huber,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_sgdregressor_huber_latent_128.joblib,16.57894736842105,13.23529411764706,86.91557071643176,411.67337010359813,12.982171194384334,15.180522680518141,53.2054026853704,66.7068504457718,69.74562583434283,88.9317852724837,0.2604952369467245,0.14555283185329349
VAE (128) + SVR_RBF,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_svr_rbf_latent_128.joblib,12.894736842105264,10.294117647058822,235.87399572586642,1170.2194894331658,30.44232037657737,31.017504106858134,107.2691497846801,112.83264496360962,119.68393875269425,123.36236030230512,-1.1776033242166362,-0.6441314379759528
VAE (128) + SVR_linear,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_svr_linear_latent_128.joblib,12.894736842105264,10.294117647058822,235.87399572586642,1170.2194894331658,30.44232037657737,31.017504106858134,107.2691497846801,112.83264496360962,119.68393875269425,123.36236030230512,-1.1776033242166362,-0.6441314379759528
VAE (128) + SVR_poly2,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_svr_poly2_latent_128.joblib,12.894736842105264,10.294117647058822,235.87399572586642,1170.2194894331658,30.44232037657737,31.017504106858134,107.2691497846801,112.83264496360962,119.68393875269425,123.36236030230512,-1.1776033242166362,-0.6441314379759528
VAE (128) + NuSVR_RBF,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_nusvr_rbf_latent_128.joblib,56.315789473684205,39.705882352941174,24.1913802248501,204.44890630322044,4.275484772208431,7.777171662670441,16.619763580230906,33.85036811330173,21.348038568025736,55.72051746421173,0.9307175907024834,0.6645703297249395
VAE (128) + LinearSVR,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_linearsvr_latent_128.joblib,59.473684210526315,50.0,29.44572197912358,401.50920792938905,4.743365657394026,8.053550777324705,18.25616577492993,34.222790181998505,25.920278491386956,55.35720475581316,0.8978622348149303,0.6689302520110607
VAE (128) + KernelRidge_RBF_a1_gscale,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_kernelridge_rbf_a1_gscale_latent_128.joblib,13.421052631578947,10.294117647058822,101.48865946006205,480.77298384086305,13.917727764381741,16.027879078515458,55.01897288623609,68.24374626927516,68.9387590731885,86.63682222893964,0.2775065302848816,0.18908321857452393
VAE (128) + KernelRidge_RBF_a0.1_g0.01,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_kernelridge_rbf_a0.1_g0.01_latent_128.joblib,25.526315789473685,13.23529411764706,63.609420796079405,380.56771179706743,9.737252158024935,12.110881804757762,38.65274852953459,51.31220392882824,49.41953679440451,68.040964185839,0.6287176609039307,0.49983638525009155
VAE (128) + KernelRidge_linear,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_kernelridge_linear_latent_128.joblib,31.842105263157894,29.411764705882355,51.503565379455154,378.48314759158313,8.073422116961991,10.086494831793855,31.953926922616205,42.221325526342675,41.54910298702238,58.36584705403458,0.7375597953796387,0.6319652795791626
VAE (128) + KernelRidge_poly2,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_kernelridge_poly2_latent_128.joblib,13.684210526315791,10.294117647058822,97.12579462736029,454.8418551767289,13.432662370609824,15.708478378793462,53.07379299715946,66.76666440946214,66.55569271351602,84.56216065997677,0.32659339904785156,0.227455735206604
VAE (128) + KNN_3_uniform,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_knn_3_uniform_latent_128.joblib,70.26315789473684,51.470588235294116,30.232212277001576,159.74577292742714,3.8283337091176115,6.543643528601237,14.844087369818437,30.10067357999437,27.85455090361282,54.57915560127188,0.8820496201515198,0.6781712770462036
VAE (128) + KNN_5_distance,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_knn_5_distance_latent_128.joblib,100.0,50.0,0.0002564263965369096,251.46053526944897,4.760109773339209e-05,6.465708082036012,0.00018563056346589945,29.402530978603323,0.0002984920095030502,52.2475757482129,0.9999999999864552,0.7050805047688276
VAE (128) + KNN_9_distance,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_knn_9_distance_latent_128.joblib,100.0,45.588235294117645,0.0005020986282054172,289.87967727653495,8.477215487249925e-05,7.405197464032011,0.0003283442550874339,33.497462788489784,0.00047580267172040775,57.646547137238315,0.999999999965584,0.6409807030041533
VAE (128) + DecisionTree_depth_6,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_decisiontree_depth_6_latent_128.joblib,68.6842105263158,41.17647058823529,17.106375634305483,102.9929337750316,3.0754490513775172,7.508393781983537,11.648995548691527,33.89166711172892,16.929601343779954,60.04525705294627,0.9564287030485945,0.6104810327301546
VAE (128) + RandomForest_paper,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_randomforest_paper_latent_128.joblib,80.78947368421052,52.94117647058824,17.483668091049847,223.57088587557885,2.1333670085151786,6.318719020284071,8.10627883962435,27.803815568942316,12.168487890688846,47.89547098662602,0.9774897533907035,0.7521664544788613
VAE (128) + RandomForest_large,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_randomforest_large_latent_128.joblib,83.15789473684211,51.470588235294116,17.30688015420475,186.84470501047184,2.0819953759282805,6.087815248443717,7.931595075233317,26.951396207494582,11.932511970521873,46.96567761757663,0.9783543425242405,0.7616954257342017
VAE (128) + ExtraTrees_300,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_extratrees_300_latent_128.joblib,100.0,61.76470588235294,3.5037650681521446e-06,93.29652086224156,9.457556102163987e-07,5.05926303904758,4.063518525266933e-06,23.0944098855528,6.142868983933008e-06,45.10988131309805,0.9999999999999942,0.7801560278831277
VAE (128) + ExtraTrees_600,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_extratrees_600_latent_128.joblib,100.0,54.41176470588235,3.5037650681521446e-06,98.53454471591698,9.457556102163987e-07,5.002822275312773,4.063518525266933e-06,22.778241753327265,6.142868983933008e-06,44.7476068386771,0.9999999999999942,0.7836729536590056
VAE (128) + GradientBoosting_squared,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_gradientboosting_squared_latent_128.joblib,87.63157894736841,51.470588235294116,7.8959146299788605,77.63148949551643,1.3223124735054115,6.358336486012489,5.028123907977831,27.700839649310762,6.431951978116748,47.94099198710876,0.9937108404735043,0.7516951367580557
VAE (128) + GradientBoosting_huber,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_gradientboosting_huber_latent_128.joblib,87.10526315789474,42.64705882352941,8.089331038837326,99.28924424401009,1.4625624014316243,6.577149861847746,5.685817928508986,29.402788515754565,8.478563318752556,48.58708816102794,0.9890717263831529,0.744957276009895
VAE (128) + HistGradientBoosting,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_histgradientboosting_latent_128.joblib,96.84210526315789,52.94117647058824,3.580263857490425,72.5753268239577,0.5725525356322922,6.333065466723918,2.3037138902688468,27.737301192882047,5.6452649767778915,47.64871147267617,0.9951552018505981,0.7547135741398585
VAE (128) + AdaBoost_depth_4,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_adaboost_depth_4_latent_128.joblib,53.94736842105263,30.88235294117647,35.28540719848971,181.4745937743713,4.746018062137837,7.619622190756309,18.00520121764222,32.53766499602275,22.643377362010234,50.94816573977861,0.9220547897147273,0.7195675286743566
VAE (128) + BaggingTrees,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_baggingtrees_latent_128.joblib,77.10526315789473,51.470588235294116,19.97041334689813,198.2607263406602,2.5082972938516415,6.4570481677420615,9.463024254098801,28.25811209457493,13.527753275749514,47.67012428094242,0.9721799201577829,0.7544930665457842
VAE (128) + MLP_64,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_mlp_64_latent_128.joblib,18.157894736842106,13.23529411764706,89.98059780887128,392.09265703772826,12.722005518864062,14.984187369438228,49.781025939238695,63.54085003891412,62.346921285250914,82.24586966619394,0.4090687036514282,0.26919853687286377
VAE (128) + MLP_128_64,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_mlp_128_64_latent_128.joblib,23.684210526315788,11.76470588235294,54.96833300557575,371.404368515497,9.349841821026988,11.818856675995283,37.1580660409049,49.70686207361081,47.41124491537933,66.86333666723039,0.6582804918289185,0.5169998407363892
VAE (128) + MLP_256_128_64,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_mlp_256_128_64_latent_128.joblib,31.57894736842105,22.058823529411764,45.29136484164329,362.6663297956235,7.8853871927181425,10.21844440072402,31.660788247459813,43.00773571782253,41.58712249805974,60.43488591724746,0.7370793223381042,0.6054095029830933
VAE (128) + PLS_2,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_pls_2_latent_128.joblib,22.36842105263158,10.294117647058822,75.43593049242816,150.91158925502899,11.929279605841133,14.692475421779264,46.4945009642741,61.2117384110114,59.11155904024903,77.9018527959231,0.4688076009056533,0.34435799878405504
VAE (128) + PLS_8,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_pls_8_latent_128.joblib,43.684210526315795,33.82352941176471,45.406330984713264,412.9003021927689,6.814027883926145,9.460490516169576,26.355992461300502,38.45288210392356,35.600325226116915,53.93327814723912,0.8073296193712829,0.6857430944846337
VAE (128) + GaussianProcess_RBF,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_gaussianprocess_rbf_latent_128.joblib,99.21052631578947,55.88235294117647,2.1398660640997487,39.321664492332324,0.5010937488423464,7.278847054489102,1.948367532356239,35.04147461122253,3.4272140933334074,74.7342517221381,0.9982143781380561,0.3965926799989369
VAE (128) + XGBoost_hist_depth3,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_xgboost_hist_depth3_latent_128.joblib,90.26315789473685,54.41176470588235,6.610704940020301,122.18554104550275,1.1602710237963243,5.644138163412431,4.433485428283089,25.234757103464183,5.844514562643044,46.49782712235934,0.9948071837425232,0.766419529914856
VAE (128) + XGBoost_hist_depth5,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_xgboost_hist_depth5_latent_128.joblib,99.47368421052632,57.35294117647059,1.725827511751059,97.6957530698753,0.31945698386037136,5.318279496134333,1.2180391782208493,24.153688952326775,1.5927854817949523,47.094266999337755,0.9996142983436584,0.7603887319564819
VAE (128) + LightGBM_leaves31,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_lightgbm_leaves31_latent_128.joblib,97.10526315789474,50.0,3.2662082755900137,93.10861714345889,0.5290638802804188,6.143922639082225,2.1319152648929762,26.930838984576308,5.3226171261935145,46.626728190253885,0.9956931724901232,0.7651226830240452
VAE (128) + LightGBM_leaves63,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_lightgbm_leaves63_latent_128.joblib,95.78947368421052,50.0,5.381239704110259,124.37122048976823,0.8204487211232033,6.203562465957129,3.2497454064515954,26.990349203086296,6.9572250456544085,46.09203861706592,0.9926416722526114,0.7704786828621781
VAE (128) + CatBoost_depth6,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_catboost_depth6_latent_128.joblib,87.10526315789474,57.35294117647059,8.846542420062876,100.35815072012404,1.4450682160413881,5.661726385152075,5.500722284379424,25.413248077436677,7.060471263699156,46.30735981859205,0.9924216544497341,0.768329233928353
VAE (128) + CatBoost_depth8,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_catboost_depth8_latent_128.joblib,83.42105263157895,54.41176470588235,10.627044117684479,164.8129206866806,1.6882960506619569,5.938028502815467,6.470794827851137,26.66345974830242,8.407283400547382,49.15150069154392,0.9892547036177777,0.7389974455606105
VAE (128) + NGBoost,128,model_zoo,joblib,artifacts/reproduce/predictors/latent_128/zoo_ngboost_latent_128.joblib,86.57894736842105,51.470588235294116,8.943793598594743,145.55787141984604,1.4654346491514745,6.557764493134977,5.595133537100147,28.738144728411992,7.186750543539846,49.827140822587445,0.9921481469077522,0.7317726074585598
