protocol_rank,protocol_id,request_id,validation_rank,linked_observation_id,target_tg_c,surrogate_tg_c,target_distance_c,predicted_tg_sigma_c,candidate_origin,process_template,risk_flags,eligible_observation_source_type,authority_weight_if_completed,required_methods,method_count,protocol_steps,acceptance_criteria,protocol_status,blocked_by_process_completion,process_approval_unblocked,can_start_high_fidelity_protocol,creates_observation,required_result_fields,evidence_level,smiles,ratios
11,protocol_validation_016_high_fidelity_validation,validation_016_high_fidelity_validation,16,vae_latent_local_search_0049,195.0,195.72079701466947,0.720797014669472,62.52793981067184,vae_latent_local_search,epoxy_anhydride_catalyzed_cure,process_incomplete;high_predictor_sigma;new_component,high_fidelity_simulation,3.0,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble,3,confirm suggested process fields are chemically feasible and internally consistent; rerun or inspect predictor ensemble disagreement before any high-fidelity result is trusted; run high-fidelity Tg estimate or expanded model ensemble under the approved process context,"process record has human approval and no unresolved required process fields; ensemble mean/std/range and model members are recorded with the result; method, observed_tg_c, confidence notes, and failure modes are recorded",blocked_pending_process_approval,True,False,False,False,observed_tg_c;method;experiment_date;operator;process_record_id;process_ready;reviewer_approved;result_notes,high_fidelity_protocol_template_not_observation,Cc1cc(-c2cc(C)c(OCC3CO3)c(C)c2)c(C)cc1OCC1CO1|O=C(O)CS,0.35000:0.65000
12,protocol_validation_017_high_fidelity_validation,validation_017_high_fidelity_validation,17,sparse_target_replacement_250_0308,250.0,249.44716837670188,0.5528316232981183,99.41558730551272,sparse_target_replacement_250,epoxy_amine_thermal_cure,process_incomplete;high_predictor_sigma;high_ood_penalty;high_tg_target;sparse_target_origin,high_fidelity_simulation,3.0,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble;thermal_stability_pre_screen;target_specific_literature_check,5,confirm suggested process fields are chemically feasible and internally consistent; rerun or inspect predictor ensemble disagreement before any high-fidelity result is trusted; run high-fidelity Tg estimate or expanded model ensemble under the approved process context; screen high-Tg formulation for thermal stability or degradation risk before DSC planning; check target-specific literature support for sparse-target chemistry,"process record has human approval and no unresolved required process fields; ensemble mean/std/range and model members are recorded with the result; method, observed_tg_c, confidence notes, and failure modes are recorded; thermal-stability risk notes are present for target_tg_c >= 240 C; literature or curated-source note is attached before promotion",blocked_pending_process_approval,True,False,False,False,observed_tg_c;method;experiment_date;operator;process_record_id;process_ready;reviewer_approved;result_notes,high_fidelity_protocol_template_not_observation,COc1cc(C(c2cc(C)c(O)c(O)c2)c2cc(C)c(O)c(O)c2)ccc1OCC1CO1|Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,0.25000:0.75000
13,protocol_validation_018_high_fidelity_validation,validation_018_high_fidelity_validation,18,surrogate_round_4,195.0,195.583840638969,0.5838406389690078,48.51735185098811,pievo_latent_local_search_selected,epoxy_amine_thermal_cure,process_incomplete;high_ood_penalty;new_component,high_fidelity_simulation,3.0,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble,3,confirm suggested process fields are chemically feasible and internally consistent; rerun or inspect predictor ensemble disagreement before any high-fidelity result is trusted; run high-fidelity Tg estimate or expanded model ensemble under the approved process context,"process record has human approval and no unresolved required process fields; ensemble mean/std/range and model members are recorded with the result; method, observed_tg_c, confidence notes, and failure modes are recorded",blocked_pending_process_approval,True,False,False,False,observed_tg_c;method;experiment_date;operator;process_record_id;process_ready;reviewer_approved;result_notes,high_fidelity_protocol_template_not_observation,CC1=CC(C)(C)N=C(Nc2nc(C)c3cc(C)cc(C)c3n2)N1|Nc1cccc(N)c1|c1ccc(C(c2ccc(OCC3CO3)cc2)c2ccc(OCC3CO3)cc2)cc1,0.37683:0.46697:0.15620
14,protocol_validation_019_high_fidelity_validation,validation_019_high_fidelity_validation,19,vae_latent_local_search_0010,195.0,195.5946019533614,0.5946019533614049,73.07373295608497,vae_latent_local_search,maleimide_addition_or_copolymerization,process_incomplete;high_predictor_sigma,high_fidelity_simulation,3.0,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble,3,confirm suggested process fields are chemically feasible and internally consistent; rerun or inspect predictor ensemble disagreement before any high-fidelity result is trusted; run high-fidelity Tg estimate or expanded model ensemble under the approved process context,"process record has human approval and no unresolved required process fields; ensemble mean/std/range and model members are recorded with the result; method, observed_tg_c, confidence notes, and failure modes are recorded",blocked_pending_process_approval,True,False,False,False,observed_tg_c;method;experiment_date;operator;process_record_id;process_ready;reviewer_approved;result_notes,high_fidelity_protocol_template_not_observation,C=C(C)C(=O)OCCOc1ccccc1|O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,0.30000:0.70000
15,protocol_validation_020_high_fidelity_validation,validation_020_high_fidelity_validation,20,surrogate_round_4,195.0,194.04063942598856,0.9593605740114411,55.74056828087379,pievo_ensemble_guard_selected,epoxy_anhydride_catalyzed_cure,process_incomplete;high_predictor_sigma;high_ood_penalty;new_component,high_fidelity_simulation,3.0,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble,3,confirm suggested process fields are chemically feasible and internally consistent; rerun or inspect predictor ensemble disagreement before any high-fidelity result is trusted; run high-fidelity Tg estimate or expanded model ensemble under the approved process context,"process record has human approval and no unresolved required process fields; ensemble mean/std/range and model members are recorded with the result; method, observed_tg_c, confidence notes, and failure modes are recorded",blocked_pending_process_approval,True,False,False,False,observed_tg_c;method;experiment_date;operator;process_record_id;process_ready;reviewer_approved;result_notes,high_fidelity_protocol_template_not_observation,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|COC(=O)c1cc(CCc2ccc(OC)cc2OC)ccc1O|Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1CN1CCN(C(c2ccccc2)c2ccccc2)CC1,0.16936:0.38508:0.44556
16,protocol_validation_021_high_fidelity_validation,validation_021_high_fidelity_validation,21,vae_latent_local_search_0014,195.0,195.688746304156,0.688746304155984,73.87406400536577,vae_latent_local_search,maleimide_addition_or_copolymerization,process_incomplete;high_predictor_sigma;high_ood_penalty,high_fidelity_simulation,3.0,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble,3,confirm suggested process fields are chemically feasible and internally consistent; rerun or inspect predictor ensemble disagreement before any high-fidelity result is trusted; run high-fidelity Tg estimate or expanded model ensemble under the approved process context,"process record has human approval and no unresolved required process fields; ensemble mean/std/range and model members are recorded with the result; method, observed_tg_c, confidence notes, and failure modes are recorded",blocked_pending_process_approval,True,False,False,False,observed_tg_c;method;experiment_date;operator;process_record_id;process_ready;reviewer_approved;result_notes,high_fidelity_protocol_template_not_observation,C=C(C)C(=O)OC(C)(C)C|O=C1C=CC(=O)N(c2ccc(Cc3ccc(N4C(=O)C=CC4=O)cc3)cc2)C1=O,0.30000:0.70000
17,protocol_validation_022_high_fidelity_validation,validation_022_high_fidelity_validation,22,expanded_inventory_replacement_0052,195.0,194.5485119000028,0.4514880999972206,134.2490671089175,expanded_inventory_replacement,cyanate_ester_triazine_cure,process_incomplete;high_predictor_sigma;high_ood_penalty,high_fidelity_simulation,3.0,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble;trimerization_catalyst_review,4,confirm suggested process fields are chemically feasible and internally consistent; rerun or inspect predictor ensemble disagreement before any high-fidelity result is trusted; run high-fidelity Tg estimate or expanded model ensemble under the approved process context; review trimerization catalyst and post-cure assumptions for cyanate ester routes,"process record has human approval and no unresolved required process fields; ensemble mean/std/range and model members are recorded with the result; method, observed_tg_c, confidence notes, and failure modes are recorded; trimerization/catalyst fields are complete and reviewer-approved",blocked_pending_process_approval,True,False,False,False,observed_tg_c;method;experiment_date;operator;process_record_id;process_ready;reviewer_approved;result_notes,high_fidelity_protocol_template_not_observation,CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1|CC(c1ccc(Oc2ccc(N)cc2)cc1)(c1ccc(Oc2ccc(N)cc2)cc1)c1ccc(Oc2ccc(N)cc2)cc1,0.20000:0.80000
18,protocol_validation_023_high_fidelity_validation,validation_023_high_fidelity_validation,23,vae_latent_local_search_0055,195.0,194.4771576858765,0.5228423141234941,96.18524581928328,vae_latent_local_search,cyanate_ester_triazine_cure,process_incomplete;high_predictor_sigma;high_ood_penalty;new_component,high_fidelity_simulation,3.0,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble;trimerization_catalyst_review,4,confirm suggested process fields are chemically feasible and internally consistent; rerun or inspect predictor ensemble disagreement before any high-fidelity result is trusted; run high-fidelity Tg estimate or expanded model ensemble under the approved process context; review trimerization catalyst and post-cure assumptions for cyanate ester routes,"process record has human approval and no unresolved required process fields; ensemble mean/std/range and model members are recorded with the result; method, observed_tg_c, confidence notes, and failure modes are recorded; trimerization/catalyst fields are complete and reviewer-approved",blocked_pending_process_approval,True,False,False,False,observed_tg_c;method;experiment_date;operator;process_record_id;process_ready;reviewer_approved;result_notes,high_fidelity_protocol_template_not_observation,N#COc1ccc(C(F)(F)c2ccc(OC#N)cc2)cc1|Nc1ccc(Oc2ccc(-c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,0.20000:0.80000
19,protocol_validation_024_high_fidelity_validation,validation_024_high_fidelity_validation,24,sparse_target_replacement_250_0295,250.0,251.69404899766425,1.6940489976642257,101.850365074608,sparse_target_replacement_250,epoxy_anhydride_catalyzed_cure,process_incomplete;high_predictor_sigma;high_ood_penalty;high_tg_target;sparse_target_origin,high_fidelity_simulation,3.0,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble;thermal_stability_pre_screen;target_specific_literature_check,5,confirm suggested process fields are chemically feasible and internally consistent; rerun or inspect predictor ensemble disagreement before any high-fidelity result is trusted; run high-fidelity Tg estimate or expanded model ensemble under the approved process context; screen high-Tg formulation for thermal stability or degradation risk before DSC planning; check target-specific literature support for sparse-target chemistry,"process record has human approval and no unresolved required process fields; ensemble mean/std/range and model members are recorded with the result; method, observed_tg_c, confidence notes, and failure modes are recorded; thermal-stability risk notes are present for target_tg_c >= 240 C; literature or curated-source note is attached before promotion",blocked_pending_process_approval,True,False,False,False,observed_tg_c;method;experiment_date;operator;process_record_id;process_ready;reviewer_approved;result_notes,high_fidelity_protocol_template_not_observation,COc1cc(/C=N/c2ccc(OCC3CO3)cc2)ccc1OCC1CO1|O=c1cc(-c2ccc3c(c2)CN(Cc2ccco2)CO3)c2c3c(c(O)cc2o1)CN(Cc1ccco1)CO3,0.15000:0.85000
20,protocol_validation_025_high_fidelity_validation,validation_025_high_fidelity_validation,25,vae_latent_local_search_0136,195.0,195.6624548438608,0.6624548438607292,117.03350527596396,vae_latent_local_search,epoxy_amine_thermal_cure,process_incomplete;high_predictor_sigma;high_ood_penalty;new_component,high_fidelity_simulation,3.0,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble,3,confirm suggested process fields are chemically feasible and internally consistent; rerun or inspect predictor ensemble disagreement before any high-fidelity result is trusted; run high-fidelity Tg estimate or expanded model ensemble under the approved process context,"process record has human approval and no unresolved required process fields; ensemble mean/std/range and model members are recorded with the result; method, observed_tg_c, confidence notes, and failure modes are recorded",blocked_pending_process_approval,True,False,False,False,observed_tg_c;method;experiment_date;operator;process_record_id;process_ready;reviewer_approved;result_notes,high_fidelity_protocol_template_not_observation,CC(C)(C1CCC(OCC2CO2)CC1)C1CCC(OCC2CO2)CC1|N=C(N)N1CCC[C@H]1Cc1nc(-c2ccc(Nc3nc(-c4cc(C(F)(F)F)ccc4F)cs3)cc2)no1,0.55000:0.45000
21,protocol_validation_026_high_fidelity_validation,validation_026_high_fidelity_validation,26,sparse_target_replacement_250_0059,250.0,247.6700355629084,2.329964437091604,92.85700451433476,sparse_target_replacement_250,anhydride_amine_imidization,process_incomplete;high_predictor_sigma;high_ood_penalty;new_component;high_tg_target;sparse_target_origin,high_fidelity_simulation,3.0,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble;thermal_stability_pre_screen;target_specific_literature_check;imidization_protocol_review,6,"confirm suggested process fields are chemically feasible and internally consistent; rerun or inspect predictor ensemble disagreement before any high-fidelity result is trusted; run high-fidelity Tg estimate or expanded model ensemble under the approved process context; screen high-Tg formulation for thermal stability or degradation risk before DSC planning; check target-specific literature support for sparse-target chemistry; review solvent, imidization temperature, and imidization time for anhydride-amine routes","process record has human approval and no unresolved required process fields; ensemble mean/std/range and model members are recorded with the result; method, observed_tg_c, confidence notes, and failure modes are recorded; thermal-stability risk notes are present for target_tg_c >= 240 C; literature or curated-source note is attached before promotion; imidization protocol fields are complete and reviewer-approved",blocked_pending_process_approval,True,False,False,False,observed_tg_c;method;experiment_date;operator;process_record_id;process_ready;reviewer_approved;result_notes,high_fidelity_protocol_template_not_observation,O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O|O=c1cc(-c2ccc3c(c2)CN(Cc2ccco2)CO3)c2c3c(c(O)cc2o1)CN(Cc1ccco1)CO3,0.60000:0.40000
22,protocol_validation_027_high_fidelity_validation,validation_027_high_fidelity_validation,27,sparse_target_replacement_250_0296,250.0,252.77120901024264,2.771209010242643,100.05387199918437,sparse_target_replacement_250,epoxy_anhydride_catalyzed_cure,process_incomplete;high_predictor_sigma;high_ood_penalty;high_tg_target;sparse_target_origin,high_fidelity_simulation,3.0,process_feasibility_review;model_ensemble_recheck;high_fidelity_simulation_or_expanded_model_ensemble;thermal_stability_pre_screen;target_specific_literature_check,5,confirm suggested process fields are chemically feasible and internally consistent; rerun or inspect predictor ensemble disagreement before any high-fidelity result is trusted; run high-fidelity Tg estimate or expanded model ensemble under the approved process context; screen high-Tg formulation for thermal stability or degradation risk before DSC planning; check target-specific literature support for sparse-target chemistry,"process record has human approval and no unresolved required process fields; ensemble mean/std/range and model members are recorded with the result; method, observed_tg_c, confidence notes, and failure modes are recorded; thermal-stability risk notes are present for target_tg_c >= 240 C; literature or curated-source note is attached before promotion",blocked_pending_process_approval,True,False,False,False,observed_tg_c;method;experiment_date;operator;process_record_id;process_ready;reviewer_approved;result_notes,high_fidelity_protocol_template_not_observation,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1|O=c1cc(-c2ccc3c(c2)CN(Cc2ccco2)CO3)c2c3c(c(O)cc2o1)CN(Cc1ccco1)CO3,0.15000:0.85000
